,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
376,LPTUSDT,1000BTTUSDT,0.03,-3.56,-3.37,11424.23,65
387,NEOUSDT,AKROUSDT,0.03,-3.59,-3.37,2379.02,50
395,ONTUSDT,SLPUSDT,0.0,-4.44,-3.37,67.07,50
879,XNOUSDT,LPTUSDT,0.04,-3.4,-3.37,0.08,49
290,BSVUSDT,AKROUSDT,0.0,-4.31,-3.37,13300.97,49
329,ETHUSDT,AKROUSDT,0.0,-5.8,-3.37,450766.11,48
388,ONTUSDT,1000BTTUSDT,0.01,-3.79,-3.37,273.12,46
331,ETHUSDT,ALICEUSDT,0.0,-5.71,-3.37,977.91,44
311,DODOUSDT,1000BTTUSDT,0.01,-4.04,-3.37,162.54,44
567,REQUSDT,MTLUSDT,0.02,-3.6,-3.37,0.11,43
822,VETUSDT,LPTUSDT,0.02,-3.74,-3.37,0.0,42
576,RSRUSDT,ADAUSDT,0.0,-4.53,-3.37,0.02,42
327,ETHUSDT,ADAUSDT,0.0,-5.54,-3.37,3984.19,42
628,STMXUSDT,1000BTTUSDT,0.01,-3.78,-3.37,8.37,42
25,1000BTTUSDT,ADAUSDT,0.01,-3.8,-3.37,0.0,42
675,SUNUSDT,CELUSDT,0.01,-3.94,-3.37,0.01,42
558,REQUSDT,LPTUSDT,0.0,-4.17,-3.37,0.01,42
35,1000XECUSDT,CTKUSDT,0.01,-3.91,-3.37,0.05,42
334,ETHUSDT,ANTUSDT,0.0,-5.14,-3.37,903.13,42
881,XNOUSDT,RUNEUSDT,0.03,-3.57,-3.37,0.48,42
47,1INCHUSDT,ICPUSDT,0.01,-3.9,-3.37,0.12,42
379,LPTUSDT,ADAUSDT,0.03,-3.55,-3.37,22.92,41
124,ANKRUSDT,STXUSDT,0.02,-3.75,-3.37,0.09,41
324,ETHUSDT,1INCHUSDT,0.0,-6.76,-3.37,2663.48,40
315,DODOUSDT,ADAUSDT,0.01,-4.09,-3.37,0.33,40
328,ETHUSDT,AGLDUSDT,0.0,-5.25,-3.37,4899.55,40
321,ETHUSDT,1000BTTUSDT,0.0,-6.66,-3.37,1985614.4,40
520,REQUSDT,ETHUSDT,0.01,-3.94,-3.37,0.0,40
838,WOOUSDT,FLOWUSDT,0.0,-4.36,-3.37,0.11,40
281,BALUSDT,ADAUSDT,0.01,-4.09,-3.37,16.64,39
378,LPTUSDT,AAVEUSDT,0.0,-4.94,-3.37,0.11,39
30,1000BTTUSDT,RVNUSDT,0.02,-3.6,-3.37,0.03,39
28,1000BTTUSDT,ICXUSDT,0.0,-4.14,-3.37,0.0,39
24,1000BTTUSDT,AAVEUSDT,0.02,-3.7,-3.37,0.0,39
312,DODOUSDT,1000XECUSDT,0.03,-3.55,-3.37,3.49,39
320,ETHUSDT,10000NFTUSDT,0.0,-5.21,-3.37,256020.77,38
326,ETHUSDT,ACHUSDT,0.0,-5.34,-3.37,136629.4,38
374,KNCUSDT,ADAUSDT,0.02,-3.66,-3.37,2.23,38
342,GLMRUSDT,ADAUSDT,0.0,-4.33,-3.37,1.17,38
874,XNOUSDT,DOTUSDT,0.0,-4.27,-3.37,0.11,38
333,ETHUSDT,ANKRUSDT,0.0,-5.67,-3.37,55459.66,38
32,1000BTTUSDT,SLPUSDT,0.0,-4.12,-3.37,0.25,38
596,RSRUSDT,GRTUSDT,0.03,-3.56,-3.37,0.08,38
631,STMXUSDT,ADAUSDT,0.01,-3.94,-3.37,0.02,38
323,ETHUSDT,1000XECUSDT,0.0,-6.06,-3.37,42637.25,38
325,ETHUSDT,AAVEUSDT,0.0,-6.72,-3.37,19.34,38
647,STMXUSDT,LOOKSUSDT,0.04,-3.46,-3.37,0.03,38
110,ALPHAUSDT,DOTUSDT,0.02,-3.66,-3.37,0.02,38
641,STMXUSDT,ETHUSDT,0.01,-3.98,-3.37,0.0,38
639,STMXUSDT,DODOUSDT,0.0,-4.88,-3.37,0.05,37
630,STMXUSDT,AAVEUSDT,0.0,-4.81,-3.37,0.0,37
314,DODOUSDT,AAVEUSDT,0.01,-4.1,-3.37,0.0,37
583,RSRUSDT,BCHUSDT,0.0,-5.06,-3.37,0.0,36
884,XNOUSDT,STXUSDT,0.02,-3.73,-3.37,2.36,36
120,ANKRUSDT,LPTUSDT,0.01,-3.82,-3.37,0.0,36
875,XNOUSDT,FLMUSDT,0.0,-4.75,-3.37,6.55,36
518,REQUSDT,EOSUSDT,0.04,-3.44,-3.37,0.1,36
581,RSRUSDT,BALUSDT,0.0,-4.33,-3.37,0.0,36
594,RSRUSDT,GLMRUSDT,0.0,-4.36,-3.37,0.01,36
20,10000NFTUSDT,XLMUSDT,0.03,-3.56,-3.37,0.06,36
764,USDCUSDT,ETHUSDT,0.0,-6.23,-3.37,0.0,36
39,1INCHUSDT,ADAUSDT,0.04,-3.42,-3.37,1.5,36
21,10000NFTUSDT,XRPUSDT,0.01,-3.96,-3.37,0.01,36
308,CROUSDT,AAVEUSDT,0.02,-3.6,-3.37,0.0,35
67,ACHUSDT,BITUSDT,0.0,-4.13,-3.37,0.03,35
870,XNOUSDT,AAVEUSDT,0.01,-3.82,-3.37,0.01,35
322,ETHUSDT,1000LUNCUSDT,0.0,-5.24,-3.37,6748.59,35
336,GLMRUSDT,1000BTTUSDT,0.01,-3.96,-3.37,583.26,34
298,BTCUSDT,ADAUSDT,0.0,-5.1,-3.37,50743.46,34
696,USDCUSDT,1000XECUSDT,0.0,-5.85,-3.37,26.27,34
52,1INCHUSDT,RENUSDT,0.0,-5.46,-3.37,4.85,34
372,KNCUSDT,1000BTTUSDT,0.02,-3.63,-3.37,1109.99,34
330,ETHUSDT,ALGOUSDT,0.0,-5.01,-3.37,4715.55,34
677,SUNUSDT,DOTUSDT,0.04,-3.4,-3.37,0.0,34
332,ETHUSDT,ALPHAUSDT,0.0,-5.24,-3.37,13891.57,34
803,USDCUSDT,LPTUSDT,0.0,-5.93,-3.37,0.11,34
12,10000NFTUSDT,FITFIUSDT,0.02,-3.66,-3.37,0.12,34
117,ANKRUSDT,FLMUSDT,0.01,-3.88,-3.37,0.26,34
116,ANKRUSDT,DODOUSDT,0.0,-4.79,-3.37,0.22,34
98,ACHUSDT,REEFUSDT,0.01,-3.84,-3.37,2.2,33
115,ANKRUSDT,AAVEUSDT,0.01,-4.05,-3.37,0.0,33
446,QTUMUSDT,SRMUSDT,0.03,-3.58,-3.37,3.67,33
61,ACHUSDT,API3USDT,0.04,-3.39,-3.37,0.01,33
479,REQUSDT,BICOUSDT,0.0,-4.72,-3.37,0.27,33
389,ONTUSDT,AAVEUSDT,0.01,-3.88,-3.37,0.0,33
413,OPUSDT,ENSUSDT,0.02,-3.6,-3.37,0.06,33
877,XNOUSDT,GRTUSDT,0.01,-4.09,-3.37,8.94,33
820,VETUSDT,GRTUSDT,0.0,-4.47,-3.37,0.28,33
414,OPUSDT,ETHWUSDT,0.0,-5.24,-3.37,0.16,33
698,USDCUSDT,AAVEUSDT,0.0,-5.84,-3.37,0.01,33
504,REQUSDT,CVCUSDT,0.0,-4.85,-3.37,0.88,33
448,QTUMUSDT,SXPUSDT,0.02,-3.69,-3.37,8.72,33
645,STMXUSDT,ICPUSDT,0.04,-3.47,-3.37,0.0,32
33,1000BTTUSDT,STXUSDT,0.02,-3.73,-3.37,0.0,32
806,USDCUSDT,LUNA2USDT,0.0,-6.0,-3.37,0.41,32
729,USDCUSDT,BSVUSDT,0.0,-5.9,-3.37,0.02,32
610,SCRTUSDT,QTUMUSDT,0.03,-3.56,-3.37,0.32,32
825,WAVESUSDT,AGLDUSDT,0.0,-4.41,-3.37,10.13,32
883,XNOUSDT,SOLUSDT,0.02,-3.63,-3.37,0.02,32
632,STMXUSDT,ANKRUSDT,0.0,-4.81,-3.37,0.23,32
633,STMXUSDT,ARPAUSDT,0.04,-3.44,-3.37,0.2,32
57,1INCHUSDT,ZILUSDT,0.02,-3.76,-3.37,19.93,32
385,LUNA2USDT,AKROUSDT,0.01,-3.81,-3.37,677.46,32
589,RSRUSDT,DODOUSDT,0.0,-4.15,-3.37,0.05,32
510,REQUSDT,DODOUSDT,0.0,-4.9,-3.37,0.83,32
608,SCRTUSDT,JSTUSDT,0.0,-4.15,-3.37,31.48,31
340,GLMRUSDT,AAVEUSDT,0.01,-3.9,-3.37,0.01,31
354,IOTXUSDT,1INCHUSDT,0.04,-3.45,-3.37,0.05,31
833,WAVESUSDT,ICPUSDT,0.04,-3.41,-3.37,0.65,31
352,ILVUSDT,1000LUNCUSDT,0.03,-3.58,-3.37,274.64,31
347,GLMRUSDT,ALPHAUSDT,0.02,-3.69,-3.37,4.08,31
382,LUNA2USDT,1000BTTUSDT,0.04,-3.43,-3.37,2983.79,31
433,OPUSDT,STGUSDT,0.0,-4.58,-3.37,2.09,31
670,STORJUSDT,UNIUSDT,0.02,-3.71,-3.37,0.06,31
775,USDCUSDT,GLMRUSDT,0.0,-5.84,-3.37,2.1,30
384,LUNA2USDT,1000XECUSDT,0.01,-4.02,-3.37,64.08,30
821,VETUSDT,ICPUSDT,0.05,-3.37,-3.37,0.0,30
721,USDCUSDT,BCHUSDT,0.0,-6.13,-3.37,0.01,30
681,SUNUSDT,MANAUSDT,0.03,-3.57,-3.37,0.01,30
878,XNOUSDT,ICPUSDT,0.01,-3.79,-3.37,0.14,30
651,STMXUSDT,RSRUSDT,0.01,-3.89,-3.37,1.09,30
734,USDCUSDT,CELOUSDT,0.0,-6.35,-3.37,1.39,30
0,10000NFTUSDT,AKROUSDT,0.0,-4.15,-3.37,1.76,30
70,ACHUSDT,CKBUSDT,0.04,-3.42,-3.37,3.43,30
81,ACHUSDT,FITFIUSDT,0.02,-3.59,-3.37,0.22,30
118,ANKRUSDT,GRTUSDT,0.0,-4.16,-3.37,0.35,30
31,1000BTTUSDT,SCUSDT,0.0,-4.5,-3.37,0.25,30
55,1INCHUSDT,TLMUSDT,0.03,-3.52,-3.37,28.58,29
598,RSRUSDT,ICPUSDT,0.01,-3.88,-3.37,0.0,29
29,1000BTTUSDT,RAYUSDT,0.01,-3.91,-3.37,0.0,29
473,REQUSDT,AXSUSDT,0.0,-4.59,-3.37,0.01,29
521,REQUSDT,ETHWUSDT,0.0,-4.69,-3.37,0.02,29
561,REQUSDT,LUNA2USDT,0.0,-4.52,-3.37,0.04,29
604,SCRTUSDT,CELRUSDT,0.0,-4.26,-3.37,60.08,29
643,STMXUSDT,GLMRUSDT,0.03,-3.55,-3.37,0.01,29
611,SCRTUSDT,SFPUSDT,0.02,-3.72,-3.37,2.27,29
622,SKLUSDT,DARUSDT,0.03,-3.56,-3.37,0.18,29
51,1INCHUSDT,RAYUSDT,0.03,-3.53,-3.37,1.18,29
655,STMXUSDT,STXUSDT,0.02,-3.73,-3.37,0.02,29
48,1INCHUSDT,ICXUSDT,0.01,-3.92,-3.37,2.64,29
637,STMXUSDT,BSVUSDT,0.04,-3.44,-3.37,0.0,29
463,REQUSDT,ANKRUSDT,0.0,-4.69,-3.37,3.75,29
445,QTUMUSDT,SLPUSDT,0.04,-3.44,-3.37,858.51,29
377,LPTUSDT,1INCHUSDT,0.0,-4.34,-3.37,15.32,29
839,WOOUSDT,GALUSDT,0.0,-4.32,-3.37,0.08,29
882,XNOUSDT,SCUSDT,0.03,-3.52,-3.37,223.91,29
309,CROUSDT,ALPHAUSDT,0.0,-4.17,-3.37,0.96,29
411,OPUSDT,CVXUSDT,0.01,-3.77,-3.37,0.19,29
84,ACHUSDT,HNTUSDT,0.01,-3.78,-3.37,0.0,29
287,BALUSDT,ANKRUSDT,0.03,-3.53,-3.37,231.66,28
9,10000NFTUSDT,ENSUSDT,0.02,-3.66,-3.37,0.0,28
621,SKLUSDT,CHRUSDT,0.0,-4.32,-3.37,0.25,28
373,KNCUSDT,1000XECUSDT,0.03,-3.53,-3.37,23.84,28
685,SUNUSDT,XNOUSDT,0.0,-4.88,-3.37,0.01,28
700,USDCUSDT,ADAUSDT,0.0,-5.83,-3.37,2.45,28
19,10000NFTUSDT,TRXUSDT,0.03,-3.54,-3.37,0.1,28
487,REQUSDT,BTCUSDT,0.0,-4.54,-3.37,0.0,28
392,ONTUSDT,ICXUSDT,0.0,-5.02,-3.37,0.97,28
393,ONTUSDT,KNCUSDT,0.01,-3.93,-3.37,0.25,28
450,REQUSDT,10000NFTUSDT,0.0,-4.69,-3.37,17.31,28
743,USDCUSDT,CROUSDT,0.0,-5.83,-3.37,8.92,28
418,OPUSDT,ILVUSDT,0.02,-3.77,-3.37,0.02,27
584,RSRUSDT,BLZUSDT,0.04,-3.47,-3.37,0.08,27
275,BALUSDT,1000BTTUSDT,0.0,-4.44,-3.37,8293.69,27
394,ONTUSDT,RAYUSDT,0.01,-3.86,-3.37,0.43,27
307,CROUSDT,1000XECUSDT,0.04,-3.45,-3.37,2.95,27
447,QTUMUSDT,SUSHIUSDT,0.04,-3.47,-3.37,1.71,27
73,ACHUSDT,CREAMUSDT,0.01,-3.77,-3.37,0.0,27
296,BTCUSDT,AAVEUSDT,0.0,-5.11,-3.37,246.33,27
423,OPUSDT,LDOUSDT,0.0,-4.42,-3.37,0.66,27
278,BALUSDT,1INCHUSDT,0.02,-3.69,-3.37,11.12,27
45,1INCHUSDT,DUSKUSDT,0.01,-3.83,-3.37,4.74,27
123,ANKRUSDT,SOLUSDT,0.01,-3.83,-3.37,0.0,27
148,ANTUSDT,THETAUSDT,0.02,-3.62,-3.37,1.55,27
886,YFIUSDT,1000BTTUSDT,0.04,-3.39,-3.37,10015252.27,27
36,1000XECUSDT,MTLUSDT,0.01,-3.81,-3.37,0.04,27
841,WOOUSDT,LRCUSDT,0.04,-3.47,-3.37,0.65,27
847,XEMUSDT,CVCUSDT,0.03,-3.47,-3.37,0.32,27
706,USDCUSDT,ANKRUSDT,0.0,-5.83,-3.37,34.17,26
350,HOTUSDT,AGLDUSDT,0.0,-5.51,-3.37,0.01,26
731,USDCUSDT,BTCUSDT,0.0,-5.91,-3.37,0.0,26
27,1000BTTUSDT,CTKUSDT,0.03,-3.57,-3.37,0.0,26
678,SUNUSDT,FLMUSDT,0.01,-4.05,-3.37,0.06,26
823,VETUSDT,RENUSDT,0.03,-3.57,-3.37,0.19,26
66,ACHUSDT,BICOUSDT,0.04,-3.46,-3.37,0.03,26
718,USDCUSDT,BALUSDT,0.0,-6.07,-3.37,0.15,26
339,GLMRUSDT,1INCHUSDT,0.03,-3.49,-3.37,0.78,26
579,RSRUSDT,ARPAUSDT,0.01,-3.94,-3.37,0.18,26
623,SKLUSDT,DGBUSDT,0.04,-3.45,-3.37,4.12,26
122,ANKRUSDT,SNXUSDT,0.0,-4.77,-3.37,0.01,26
635,STMXUSDT,BCHUSDT,0.01,-4.07,-3.37,0.0,26
880,XNOUSDT,MANAUSDT,0.04,-3.47,-3.37,1.14,26
44,1INCHUSDT,DGBUSDT,0.02,-3.62,-3.37,67.93,26
642,STMXUSDT,FILUSDT,0.03,-3.51,-3.37,0.0,26
457,REQUSDT,ADAUSDT,0.0,-4.3,-3.37,0.27,26
480,REQUSDT,BITUSDT,0.0,-4.81,-3.37,0.25,25
495,REQUSDT,CKBUSDT,0.0,-4.56,-3.37,31.71,25
512,REQUSDT,DOTUSDT,0.0,-4.36,-3.37,0.02,25
43,1INCHUSDT,CTSIUSDT,0.04,-3.44,-3.37,4.43,25
455,REQUSDT,AAVEUSDT,0.0,-4.93,-3.37,0.0,25
72,ACHUSDT,COTIUSDT,0.04,-3.46,-3.37,0.11,25
88,ACHUSDT,KAVAUSDT,0.01,-3.9,-3.37,0.01,25
316,DODOUSDT,AKROUSDT,0.04,-3.46,-3.37,36.9,25
111,ALPHAUSDT,NEARUSDT,0.0,-4.17,-3.37,0.04,25
864,XMRUSDT,BOBAUSDT,0.0,-4.4,-3.37,504.99,25
294,BTCUSDT,1000XECUSDT,0.0,-5.19,-3.37,543108.1,25
829,WAVESUSDT,CTSIUSDT,0.0,-4.5,-3.37,24.39,25
466,REQUSDT,API3USDT,0.0,-4.28,-3.37,0.06,25
537,REQUSDT,HNTUSDT,0.0,-4.75,-3.37,0.03,25
569,REQUSDT,NEOUSDT,0.0,-4.5,-3.37,0.01,25
673,SUNUSDT,BELUSDT,0.02,-3.71,-3.37,0.01,25
657,STMXUSDT,UNIUSDT,0.04,-3.43,-3.37,0.0,25
590,RSRUSDT,DUSKUSDT,0.01,-3.85,-3.37,0.05,25
653,STMXUSDT,SCUSDT,0.0,-4.58,-3.37,2.07,25
586,RSRUSDT,CROUSDT,0.04,-3.42,-3.37,0.06,25
574,RSRUSDT,1000BTTUSDT,0.0,-4.38,-3.37,7.69,25
618,SHIB1000USDT,FXSUSDT,0.01,-3.87,-3.37,0.0,25
650,STMXUSDT,REQUSDT,0.02,-3.59,-3.37,0.06,25
10,10000NFTUSDT,ETCUSDT,0.01,-3.85,-3.37,0.0,24
113,ALPHAUSDT,STXUSDT,0.03,-3.56,-3.37,0.37,24
840,WOOUSDT,IMXUSDT,0.04,-3.42,-3.37,0.3,24
11,10000NFTUSDT,ETHWUSDT,0.02,-3.62,-3.37,0.0,24
80,ACHUSDT,ETCUSDT,0.02,-3.6,-3.37,0.0,24
837,WOOUSDT,DYDXUSDT,0.03,-3.58,-3.37,0.11,24
836,WOOUSDT,C98USDT,0.01,-3.95,-3.37,0.55,24
37,1000XECUSDT,RVNUSDT,0.03,-3.48,-3.37,1.21,24
887,YGGUSDT,BALUSDT,0.04,-3.46,-3.37,0.04,24
348,GLMRUSDT,ANKRUSDT,0.01,-3.95,-3.37,16.29,24
648,STMXUSDT,LPTUSDT,0.04,-3.42,-3.37,0.0,24
789,USDCUSDT,IOTAUSDT,0.0,-5.86,-3.37,3.89,24
23,10000NFTUSDT,ZRXUSDT,0.01,-3.98,-3.37,0.02,24
640,STMXUSDT,DOTUSDT,0.02,-3.73,-3.37,0.0,24
741,USDCUSDT,COTIUSDT,0.0,-6.11,-3.37,9.65,24
711,USDCUSDT,ARPAUSDT,0.0,-5.84,-3.37,28.99,24
557,REQUSDT,LOOKSUSDT,0.0,-4.43,-3.37,0.49,24
304,BTCUSDT,ANKRUSDT,0.0,-5.12,-3.37,706405.4,24
682,SUNUSDT,RUNEUSDT,0.04,-3.43,-3.37,0.0,24
652,STMXUSDT,RUNEUSDT,0.04,-3.47,-3.37,0.0,24
444,QTUMUSDT,GALUSDT,0.01,-3.87,-3.37,1.34,24
848,XEMUSDT,NEOUSDT,0.03,-3.51,-3.37,0.0,23
629,STMXUSDT,1000XECUSDT,0.04,-3.4,-3.37,0.18,23
286,BALUSDT,ALPHAUSDT,0.01,-3.77,-3.37,58.03,23
663,STORJUSDT,BOBAUSDT,0.0,-4.12,-3.37,1.5,23
676,SUNUSDT,CROUSDT,0.03,-3.51,-3.37,0.06,23
351,HOTUSDT,ALICEUSDT,0.0,-4.56,-3.37,0.0,23
400,OPUSDT,AKROUSDT,0.01,-3.87,-3.37,294.22,23
54,1INCHUSDT,SXPUSDT,0.02,-3.74,-3.37,1.86,23
399,OPUSDT,ACHUSDT,0.03,-3.52,-3.37,89.24,23
497,REQUSDT,COTIUSDT,0.0,-4.66,-3.37,1.06,23
496,REQUSDT,COMPUSDT,0.0,-4.56,-3.37,0.0,23
549,REQUSDT,KAVAUSDT,0.0,-4.58,-3.37,0.07,23
714,USDCUSDT,AUDIOUSDT,0.0,-5.91,-3.37,5.03,23
691,UNIUSDT,10000NFTUSDT,0.04,-3.42,-3.37,1094.67,23
468,REQUSDT,ARPAUSDT,0.0,-4.43,-3.37,3.18,23
451,REQUSDT,1000BTTUSDT,0.0,-4.36,-3.37,134.24,23
587,RSRUSDT,CTSIUSDT,0.04,-3.43,-3.37,0.05,23
430,OPUSDT,REEFUSDT,0.02,-3.63,-3.37,196.55,23
421,OPUSDT,KAVAUSDT,0.01,-3.93,-3.37,0.71,23
417,OPUSDT,HNTUSDT,0.01,-4.05,-3.37,0.26,23
599,RSRUSDT,KNCUSDT,0.01,-4.01,-3.37,0.01,23
824,VETUSDT,SOLUSDT,0.04,-3.41,-3.37,0.0,23
408,OPUSDT,CREAMUSDT,0.01,-4.06,-3.37,0.09,23
540,REQUSDT,ICXUSDT,0.0,-4.41,-3.37,0.47,23
277,BALUSDT,1000XECUSDT,0.03,-3.49,-3.37,178.1,23
507,REQUSDT,DASHUSDT,0.0,-4.48,-3.37,0.0,23
891,ZENUSDT,OMGUSDT,0.03,-3.49,-3.37,8.11,23
716,USDCUSDT,AXSUSDT,0.0,-5.97,-3.37,0.11,22
335,GLMRUSDT,10000NFTUSDT,0.04,-3.38,-3.37,75.22,22
386,LUNA2USDT,ALPHAUSDT,0.04,-3.39,-3.37,20.88,22
397,OPUSDT,10000NFTUSDT,0.01,-4.06,-3.37,167.12,22
573,RSRUSDT,10000NFTUSDT,0.04,-3.42,-3.37,0.99,22
600,RSRUSDT,LPTUSDT,0.02,-3.63,-3.37,0.0,22
616,SFPUSDT,IMXUSDT,0.04,-3.41,-3.37,0.67,22
624,SKLUSDT,KLAYUSDT,0.04,-3.45,-3.37,0.15,22
646,STMXUSDT,KNCUSDT,0.01,-3.99,-3.37,0.01,22
671,SUNUSDT,ALICEUSDT,0.04,-3.4,-3.37,0.0,22
684,SUNUSDT,SOLUSDT,0.03,-3.52,-3.37,0.0,22
736,USDCUSDT,CELUSDT,0.0,-6.11,-3.37,1.06,22
112,ALPHAUSDT,SCUSDT,0.02,-3.7,-3.37,35.3,22
754,USDCUSDT,DODOUSDT,0.0,-5.82,-3.37,7.52,22
762,USDCUSDT,EOSUSDT,0.0,-5.83,-3.37,0.88,22
765,USDCUSDT,ETHWUSDT,0.0,-6.25,-3.37,0.15,22
778,USDCUSDT,GRTUSDT,0.0,-5.83,-3.37,12.06,22
788,USDCUSDT,IOSTUSDT,0.0,-6.05,-3.37,87.78,22
795,USDCUSDT,KLAYUSDT,0.0,-6.2,-3.37,3.91,22
18,10000NFTUSDT,SUSHIUSDT,0.03,-3.47,-3.37,0.0,22
814,USDCUSDT,NEOUSDT,0.0,-6.25,-3.37,0.12,22
888,YGGUSDT,BCHUSDT,0.0,-4.22,-3.37,0.0,22
889,YGGUSDT,RSRUSDT,0.03,-3.53,-3.37,46.48,22
107,AGLDUSDT,BAKEUSDT,0.03,-3.48,-3.37,1.36,22
578,RSRUSDT,ANKRUSDT,0.02,-3.66,-3.37,0.21,22
485,REQUSDT,BSVUSDT,0.0,-4.48,-3.37,0.0,21
552,REQUSDT,KSMUSDT,0.0,-4.5,-3.37,0.0,21
490,REQUSDT,CELOUSDT,0.0,-4.36,-3.37,0.15,21
499,REQUSDT,CROUSDT,0.0,-4.32,-3.37,0.98,21
477,REQUSDT,BCHUSDT,0.0,-4.3,-3.37,0.0,21
688,TRBUSDT,C98USDT,0.04,-3.42,-3.37,48.26,21
71,ACHUSDT,COMPUSDT,0.02,-3.69,-3.37,0.0,21
97,ACHUSDT,QNTUSDT,0.03,-3.54,-3.37,0.0,21
274,ARUSDT,10000NFTUSDT,0.02,-3.65,-3.37,1641.87,21
443,QTUMUSDT,CELRUSDT,0.04,-3.38,-3.37,187.09,21
438,OPUSDT,ZECUSDT,0.01,-3.92,-3.37,0.02,21
279,BALUSDT,AAVEUSDT,0.03,-3.47,-3.37,0.08,21
492,REQUSDT,CELUSDT,0.0,-4.51,-3.37,0.12,21
545,REQUSDT,IOTAUSDT,0.0,-4.32,-3.37,0.43,21
432,OPUSDT,SRMUSDT,0.0,-5.01,-3.37,1.36,21
406,OPUSDT,COMPUSDT,0.01,-3.87,-3.37,0.02,21
283,BALUSDT,AKROUSDT,0.0,-4.29,-3.37,1882.83,21
575,RSRUSDT,AAVEUSDT,0.04,-3.45,-3.37,0.0,21
